Food_Item,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Nutrient_Density_Score,Protein_Efficiency,Sugars_g,Sodium_mg,Saturated_Fat_g,Cholesterol_mg
"Strawberries, Canned",92.0,0.56,23.53,0.26,1.7,Strawberries,fruits,2.43,100.0,2.54,2.46,0.01,21.83,4.0,0.01,0.0
"Strawberries, Frozen",35.0,0.43,9.13,0.11,2.1,Strawberries,fruits,4.91,100.0,2.83,7.23,0.01,4.56,2.0,0.01,0.0
"Strawberries, Raw",36.0,0.64,7.96,0.22,1.8,Strawberries,fruits,7.11,88.44,5.5,6.78,0.02,4.86,0.0,0.0,0.0
"Strawberry Juice, 100%",23.0,0.42,5.17,0.14,1.2,Other fruit juice,fruits,7.3,89.91,5.48,7.04,0.02,3.16,1.0,0.0,0.0
Sugar Cane Beverage,74.0,0.0,20.17,0.0,0.0,Fruit drinks,fruits,0.0,100.0,0.0,0.0,0.0,20.17,43.0,0.0,0.0
Tamarind Drink,109.0,0.64,27.67,0.18,1.2,Fruit drinks,fruits,2.35,100.0,1.49,1.69,0.01,22.28,9.0,0.06,0.0
"Tangerine Juice, 100%",43.0,0.5,10.1,0.2,0.2,Citrus juice,fruits,4.65,93.95,4.19,1.63,0.01,9.9,1.0,0.02,0.0
"Tangerine, Raw",53.0,0.81,13.34,0.31,1.8,Citrus fruits,fruits,6.11,100.0,5.26,4.92,0.02,10.58,2.0,0.04,0.0
"Vegetable And Fruit Juice Drink, With High Vitamin C",29.0,0.04,7.47,0.01,0.0,Fruit drinks,fruits,0.55,100.0,0.31,0.14,0.0,2.1,21.0,0.0,0.0
"Vegetable And Fruit Juice Drink, With High Vitamin C, Light",4.0,0.0,1.1,0.0,0.0,Fruit drinks,fruits,0.0,100.0,0.0,0.0,0.0,0.63,14.0,0.0,0.0
"Vegetable And Fruit Juice, 100% Juice, With High Vitamin C",46.0,0.3,11.15,0.01,0.0,Other fruit juice,fruits,2.61,96.96,0.2,0.65,0.01,10.37,29.0,0.0,0.0
"Watermelon Juice, 100%",30.0,0.61,7.55,0.15,0.4,Other fruit juice,fruits,8.13,100.0,4.5,3.37,0.02,6.2,1.0,0.02,0.0
"Watermelon, Raw",30.0,0.61,7.55,0.15,0.4,Melons,fruits,8.13,100.0,4.5,3.37,0.02,6.2,1.0,0.02,0.0
"Wine, Nonalcoholic",6.0,0.5,1.1,0.0,0.0,Fruit drinks,fruits,33.33,73.33,0.0,8.33,0.08,1.1,7.0,0.0,0.0
Almond Butter,641.0,20.67,21.11,52.72,9.6,Nuts and seeds,healthy_fats,12.9,13.17,74.02,4.72,0.03,4.4,232.0,4.22,0.0
"Almond Butter And Jelly Sandwich, On Wheat Bread",372.0,12.04,42.86,17.2,5.8,Peanut butter and jelly sandwiches,healthy_fats,12.95,46.09,41.61,4.8,0.03,13.19,307.0,1.59,0.0
"Almond Butter And Jelly Sandwich, On White Bread",374.0,10.98,44.88,16.99,4.2,Peanut butter and jelly sandwiches,healthy_fats,11.74,48.0,40.89,4.06,0.03,13.26,313.0,1.65,0.0
"Almond Butter Sandwich, On Wheat Bread",395.0,14.62,36.97,20.93,6.9,Peanut butter and jelly sandwiches,healthy_fats,14.81,37.44,47.69,5.45,0.04,4.93,368.0,1.94,0.0
"Almond Butter Sandwich, On White Bread",397.0,13.34,39.43,20.68,4.9,Peanut butter and jelly sandwiches,healthy_fats,13.44,39.73,46.88,4.59,0.03,5.01,374.0,2.0,0.0
"Almond Butter, Lower Sodium",645.0,20.79,21.24,53.04,9.7,Nuts and seeds,healthy_fats,12.89,13.17,74.01,4.73,0.03,4.43,1.0,4.25,0.0
Almond Oil,884.0,0.0,0.0,100.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.2,0.0
Almond Paste,458.0,9.0,47.81,27.74,4.8,Nuts and seeds,healthy_fats,7.86,41.76,54.51,3.01,0.02,36.25,9.0,2.63,0.0
"Almonds,",598.0,20.96,21.01,52.54,10.9,Nuts and seeds,healthy_fats,14.02,14.05,79.07,5.33,0.04,4.86,3.0,4.09,0.0
"Almonds, Flavored",599.0,20.07,20.12,53.27,10.4,Nuts and seeds,healthy_fats,13.4,13.44,80.04,5.09,0.03,4.65,500.0,4.31,0.0
"Almonds, Honey Roasted",579.0,14.11,35.84,45.34,7.3,Nuts and seeds,healthy_fats,9.75,24.76,70.48,3.7,0.02,25.01,385.0,4.08,0.0
"Almonds, Lightly Salted",604.0,20.23,20.28,53.7,10.5,Nuts and seeds,healthy_fats,13.4,13.43,80.02,5.09,0.03,4.69,195.0,4.35,0.0
"Almonds, Salted",601.0,20.13,20.18,53.43,10.5,Nuts and seeds,healthy_fats,13.4,13.43,80.01,5.1,0.03,4.67,386.0,4.33,0.0
"Almonds, Unroasted",626.0,21.45,20.03,51.09,10.8,Nuts and seeds,healthy_fats,13.71,12.8,73.45,5.15,0.03,4.35,0.0,3.78,0.0
"Almonds, Unsalted",607.0,20.33,20.38,53.96,10.6,Nuts and seeds,healthy_fats,13.4,13.43,80.01,5.1,0.03,4.71,3.0,4.37,0.0
Avocado Dressing,427.0,1.9,7.36,43.33,0.1,Salad dressings and vegetable oils,healthy_fats,1.78,6.89,91.33,0.47,0.0,6.67,867.0,5.98,40.0
Bacon And Tomato Dressing,326.0,1.8,2.0,35.0,0.2,Salad dressings and vegetable oils,healthy_fats,2.21,2.45,96.63,0.61,0.01,2.0,905.0,5.44,4.0
"Beets, Pickled",65.0,0.8,16.28,0.08,0.8,"Olives, pickles, pickled vegetables",healthy_fats,4.92,100.0,1.11,2.46,0.01,11.05,149.0,0.01,0.0
Beignet,417.0,5.46,53.69,20.18,1.9,"Doughnuts, sweet rolls, pastries",healthy_fats,5.24,51.5,43.55,1.76,0.01,31.09,281.0,8.4,27.0
Blue Or Roquefort Cheese Dressing,484.0,1.37,4.77,51.1,0.4,Salad dressings and vegetable oils,healthy_fats,1.13,3.94,95.02,0.37,0.0,3.48,642.0,8.28,31.0
"Blue Or Roquefort Cheese Dressing, Fat-Free",115.0,1.52,25.6,1.01,1.8,Salad dressings and vegetable oils,healthy_fats,5.29,89.04,7.9,2.89,0.01,7.44,814.0,0.45,2.0
"Blue Or Roquefort Cheese Dressing, Light",300.0,1.44,15.18,26.06,1.1,Salad dressings and vegetable oils,healthy_fats,1.92,20.24,78.18,0.85,0.0,5.46,728.0,4.36,16.0
Brazil Nuts,659.0,14.32,11.74,67.1,7.5,Nuts and seeds,healthy_fats,8.69,7.13,91.64,3.31,0.02,2.33,3.0,16.13,0.0
"Bread, Spanish Coffee",348.0,7.93,58.84,9.06,1.9,"Doughnuts, sweet rolls, pastries",healthy_fats,9.11,67.63,23.43,2.82,0.02,12.11,15.0,1.5,37.0
"Breakfast Pastry,",371.0,5.4,47.8,18.5,1.9,"Doughnuts, sweet rolls, pastries",healthy_fats,5.82,51.54,44.88,1.97,0.01,27.53,445.0,4.86,114.0
Breakfast Tart,385.0,4.01,71.83,9.02,1.8,"Doughnuts, sweet rolls, pastries",healthy_fats,4.17,74.63,21.09,1.51,0.01,31.0,311.0,3.09,0.0
"Breakfast Tart, Lowfat",372.0,3.99,76.8,5.99,1.5,"Doughnuts, sweet rolls, pastries",healthy_fats,4.29,82.58,14.49,1.48,0.01,4.87,361.0,1.39,0.0
Brioche,427.0,8.96,36.31,27.46,1.5,"Doughnuts, sweet rolls, pastries",healthy_fats,8.39,34.01,57.88,2.45,0.02,3.12,437.0,14.33,174.0
"Cabbage, Green, Pickled",46.0,0.8,10.15,0.21,2.1,"Olives, pickles, pickled vegetables",healthy_fats,6.96,88.26,4.11,6.3,0.02,7.52,957.0,0.03,0.0
"Cabbage, Red, Pickled",49.0,1.03,10.49,0.19,1.7,"Olives, pickles, pickled vegetables",healthy_fats,8.41,85.63,3.49,5.57,0.02,8.05,954.0,0.02,0.0
Caesar Dressing,542.0,2.17,3.3,57.85,0.5,Salad dressings and vegetable oils,healthy_fats,1.6,2.44,96.06,0.49,0.0,2.81,1209.0,8.79,39.0
"Caesar Dressing, Fat-Free",131.0,1.47,30.73,0.23,0.2,Salad dressings and vegetable oils,healthy_fats,4.49,93.83,1.58,1.27,0.01,8.82,1265.0,0.1,1.0
"Caesar Dressing, Light",110.0,0.3,18.6,4.4,0.1,Salad dressings and vegetable oils,healthy_fats,1.09,67.64,36.0,0.36,0.0,16.32,1148.0,0.7,2.0
Canola Oil,900.0,0.0,0.0,100.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.61,0.0
Cashew Butter,609.0,12.12,30.3,53.03,3.0,Nuts and seeds,healthy_fats,7.96,19.9,78.37,2.48,0.02,9.09,295.0,10.61,0.0
"Cashews,",574.0,15.31,32.69,46.35,3.0,Nuts and seeds,healthy_fats,10.67,22.78,72.67,3.19,0.03,5.01,16.0,9.16,0.0
"Cashews, Honey Roasted",563.0,10.31,43.7,41.18,2.0,Nuts and seeds,healthy_fats,7.33,31.05,65.83,2.19,0.02,25.11,394.0,7.49,0.0
"Cashews, Lightly Salted",581.0,14.78,31.55,47.72,2.9,Nuts and seeds,healthy_fats,10.18,21.72,73.92,3.04,0.03,4.84,208.0,9.24,0.0
"Cashews, Salted",578.0,14.7,31.4,47.48,2.9,Nuts and seeds,healthy_fats,10.17,21.73,73.93,3.04,0.03,4.81,399.0,9.19,0.0
"Cashews, Unroasted",574.0,15.31,32.69,46.35,3.0,Nuts and seeds,healthy_fats,10.67,22.78,72.67,3.19,0.03,5.01,16.0,9.16,0.0
"Cashews, Unsalted",584.0,14.85,31.71,47.96,2.9,Nuts and seeds,healthy_fats,10.17,21.72,73.91,3.04,0.03,4.86,16.0,9.28,0.0
"Cauliflower, Pickled",41.0,1.59,8.98,0.25,1.7,"Olives, pickles, pickled vegetables",healthy_fats,15.51,87.61,5.49,8.02,0.04,6.45,969.0,0.11,0.0
"Celery, Pickled",35.0,0.41,7.61,0.15,1.3,"Olives, pickles, pickled vegetables",healthy_fats,4.69,86.97,3.86,4.89,0.01,5.98,1025.0,0.04,0.0
Cheese Pastry Puffs,265.0,9.3,13.4,19.54,0.4,"Doughnuts, sweet rolls, pastries",healthy_fats,14.04,20.23,66.36,3.66,0.04,0.2,554.0,5.87,121.0
Chestnuts,245.0,3.17,52.96,2.2,5.1,Nuts and seeds,healthy_fats,5.18,86.47,8.08,3.38,0.01,10.6,2.0,0.41,0.0
Chia Seeds,486.0,16.54,42.12,30.74,34.4,Nuts and seeds,healthy_fats,13.61,34.67,56.93,10.0,0.03,1.55,16.0,3.33,0.0
Churros,419.0,6.05,48.87,22.21,2.6,"Doughnuts, sweet rolls, pastries",healthy_fats,5.78,46.65,47.71,2.06,0.01,23.38,309.0,9.25,29.0
Coconut Oil,895.0,0.0,0.84,99.1,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.38,99.65,0.0,0.0,0.0,0.0,82.5,0.0
"Coconut, Fresh",354.0,3.33,15.23,33.49,9.0,Nuts and seeds,healthy_fats,3.76,17.21,85.14,3.48,0.01,6.23,20.0,29.7,0.0
"Coconut, Packaged",456.0,3.13,51.85,27.99,9.9,Nuts and seeds,healthy_fats,2.75,45.48,55.24,2.86,0.01,36.75,285.0,26.4,0.0
"Coffee Cake, Crumb Or Quick-Bread Type",396.0,6.49,51.29,18.44,1.4,"Doughnuts, sweet rolls, pastries",healthy_fats,6.56,51.81,41.91,1.99,0.02,26.6,319.0,6.88,63.0
"Coffee Cake, Crumb Or Quick-Bread Type, Cheese-Filled",365.0,6.8,45.07,17.55,1.2,"Doughnuts, sweet rolls, pastries",healthy_fats,7.45,49.39,43.27,2.19,0.02,22.86,291.0,7.01,61.0
"Coffee Cake, Crumb Or Quick-Bread Type, With Fruit",322.0,4.2,50.17,11.8,1.2,"Doughnuts, sweet rolls, pastries",healthy_fats,5.22,62.32,32.98,1.68,0.01,33.82,203.0,4.38,40.0
"Coffee Cake, Yeast Type",372.0,6.2,50.9,16.4,2.4,"Doughnuts, sweet rolls, pastries",healthy_fats,6.67,54.73,39.68,2.31,0.02,31.73,304.0,3.08,66.0
Coleslaw Dressing,404.0,0.85,22.4,34.53,0.0,Salad dressings and vegetable oils,healthy_fats,0.84,22.18,76.92,0.21,0.0,21.23,850.0,5.34,41.0
Corn Oil,900.0,0.0,0.0,100.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,0.0,0.0,0.0,0.0,13.4,0.0
Cottonseed Oil,884.0,0.0,0.0,100.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,0.0,0.0,0.0,0.0,25.9,0.0
"Cream Puff, Eclair, Custard Or Cream Filled, As To Icing",280.0,4.2,11.05,24.39,0.3,"Doughnuts, sweet rolls, pastries",healthy_fats,6.0,15.79,78.4,1.61,0.02,2.38,132.0,13.33,135.0
"Cream Puff, Eclair, Custard Or Cream Filled, Iced",334.0,4.41,37.43,18.52,0.9,"Doughnuts, sweet rolls, pastries",healthy_fats,5.28,44.83,49.9,1.59,0.01,22.05,265.0,7.06,66.0
"Cream Puff, Eclair, Custard Or Cream Filled, Iced, Reduced-Fat",242.0,3.48,41.93,7.24,1.0,"Doughnuts, sweet rolls, pastries",healthy_fats,5.75,69.31,26.93,1.85,0.01,33.42,261.0,1.29,50.0
"Cream Puff, Eclair, Custard Or Cream Filled, Not Iced",264.0,4.76,12.92,21.52,0.4,"Doughnuts, sweet rolls, pastries",healthy_fats,7.21,19.58,73.36,1.95,0.02,2.24,160.0,11.52,144.0
"Cream Puff, No Filling Or Icing",360.0,9.0,22.8,25.9,0.8,"Doughnuts, sweet rolls, pastries",healthy_fats,10.0,25.33,64.75,2.72,0.02,0.25,483.0,5.6,171.0
Creamy Italian Dressing,268.0,0.55,11.19,24.63,0.0,Salad dressings and vegetable oils,healthy_fats,0.82,16.7,82.71,0.21,0.0,9.86,966.0,3.55,4.0
"Creamy Italian Dressing, Fat-Free",56.0,1.03,10.44,1.14,0.5,Salad dressings and vegetable oils,healthy_fats,7.36,74.57,18.32,2.73,0.02,8.32,1094.0,0.32,2.0
"Creamy Italian Dressing, Light",111.0,0.56,9.54,7.78,0.0,Salad dressings and vegetable oils,healthy_fats,2.02,34.38,63.08,0.5,0.01,8.63,882.0,1.02,0.0
Croissant,406.0,8.2,45.8,21.0,2.6,"Doughnuts, sweet rolls, pastries",healthy_fats,8.08,45.12,46.55,2.66,0.02,11.26,300.0,11.66,67.0
"Croissant, Cheese",414.0,9.2,47.0,20.9,2.6,"Doughnuts, sweet rolls, pastries",healthy_fats,8.89,45.41,45.43,2.85,0.02,11.35,361.0,10.63,57.0
"Croissant, Chocolate",421.0,7.4,49.4,22.79,3.3,"Doughnuts, sweet rolls, pastries",healthy_fats,7.03,46.94,48.72,2.54,0.02,19.87,242.0,12.87,54.0
"Croissant, Fruit",396.0,7.75,47.04,19.72,3.0,"Doughnuts, sweet rolls, pastries",healthy_fats,7.83,47.52,44.82,2.71,0.02,14.1,287.0,10.94,63.0
"Danish Pastry, Plain Or Spice",403.0,7.0,44.6,22.4,1.3,"Doughnuts, sweet rolls, pastries",healthy_fats,6.95,44.27,50.02,2.06,0.02,19.78,414.0,5.68,21.0
"Danish Pastry, With Cheese",374.0,8.0,37.2,21.9,1.0,"Doughnuts, sweet rolls, pastries",healthy_fats,8.56,39.79,52.7,2.41,0.02,6.95,417.0,6.79,23.0
"Danish Pastry, With Fruit",371.0,5.4,47.8,18.5,1.9,"Doughnuts, sweet rolls, pastries",healthy_fats,5.82,51.54,44.88,1.97,0.01,27.53,445.0,4.86,114.0
Doughnut Holes,426.0,5.52,49.52,22.86,1.8,"Doughnuts, sweet rolls, pastries",healthy_fats,5.18,46.5,48.3,1.72,0.01,23.51,378.0,9.85,20.0
"Doughnut,",426.0,5.52,49.52,22.86,1.8,"Doughnuts, sweet rolls, pastries",healthy_fats,5.18,46.5,48.3,1.72,0.01,23.51,378.0,9.85,20.0
"Doughnut, Cake Type, Chocolate Icing",427.0,4.47,50.29,23.46,1.5,"Doughnuts, sweet rolls, pastries",healthy_fats,4.19,47.11,49.45,1.4,0.01,26.06,418.0,9.99,8.0
"Doughnut, Cake Type, Plain",434.0,5.31,47.06,24.93,1.7,"Doughnuts, sweet rolls, pastries",healthy_fats,4.89,43.37,51.7,1.62,0.01,18.15,477.0,11.1,10.0
"Doughnut, Cake Type, Powdered Sugar",431.0,4.9,51.12,23.01,1.6,"Doughnuts, sweet rolls, pastries",healthy_fats,4.55,47.44,48.05,1.51,0.01,24.28,440.0,10.25,9.0
"Doughnut, Cake Type, With Icing",431.0,4.25,51.23,23.19,1.4,"Doughnuts, sweet rolls, pastries",healthy_fats,3.94,47.55,48.42,1.31,0.01,27.14,418.0,9.48,8.0
"Doughnut, Chocolate",417.0,5.2,51.95,22.44,3.7,"Doughnuts, sweet rolls, pastries",healthy_fats,4.99,49.83,48.43,2.13,0.01,26.05,388.0,9.28,7.0
"Doughnut, Chocolate, With Chocolate Icing",413.0,5.42,51.01,22.72,3.9,"Doughnuts, sweet rolls, pastries",healthy_fats,5.25,49.4,49.51,2.26,0.01,24.97,388.0,9.79,7.0
"Doughnut, Custard-Filled",363.0,5.2,42.86,18.92,1.7,"Doughnuts, sweet rolls, pastries",healthy_fats,5.73,47.23,46.91,1.9,0.01,21.59,287.0,7.77,24.0
"Doughnut, Custard-Filled, With Icing",368.0,4.52,46.25,18.7,1.6,"Doughnuts, sweet rolls, pastries",healthy_fats,4.91,50.27,45.73,1.66,0.01,27.61,270.0,7.39,20.0
"Doughnut, Jelly",390.0,4.94,52.33,18.16,1.9,"Doughnuts, sweet rolls, pastries",healthy_fats,5.07,53.67,41.91,1.75,0.01,28.44,259.0,7.56,24.0
"Doughnut, Yeast Type",421.0,6.14,47.93,22.7,2.1,"Doughnuts, sweet rolls, pastries",healthy_fats,5.83,45.54,48.53,1.96,0.01,22.75,316.0,9.45,30.0
"Doughnut, Yeast Type, With Chocolate Icing",416.0,5.13,50.98,21.68,1.9,"Doughnuts, sweet rolls, pastries",healthy_fats,4.93,49.02,46.9,1.69,0.01,29.74,289.0,8.67,24.0
"Eggplant, Pickled",41.0,0.81,9.74,0.16,2.5,"Olives, pickles, pickled vegetables",healthy_fats,7.9,95.02,3.51,8.07,0.02,7.8,946.0,0.03,0.0
Flax Seeds,545.0,18.04,34.36,37.28,23.1,Nuts and seeds,healthy_fats,13.24,25.22,61.56,7.55,0.03,1.55,37.0,3.28,0.0
Flaxseed Oil,884.0,0.11,0.0,99.98,0.0,Salad dressings and vegetable oils,healthy_fats,0.05,0.0,100.0,0.01,0.0,0.0,0.0,8.98,0.0
French Or Catalina Dressing,419.0,0.87,18.79,39.07,2.4,Salad dressings and vegetable oils,healthy_fats,0.83,17.94,83.92,0.78,0.0,17.43,661.0,6.09,0.0
"French Or Catalina Dressing, Fat-Free",132.0,0.2,32.14,0.27,2.2,Salad dressings and vegetable oils,healthy_fats,0.61,97.39,1.84,1.82,0.0,16.45,853.0,0.04,0.0
"French Or Catalina Dressing, Light",222.0,0.58,31.22,11.52,1.5,Salad dressings and vegetable oils,healthy_fats,1.05,56.25,46.7,0.94,0.0,16.86,838.0,0.84,0.0
"Fritter, Fruit",403.0,6.3,37.29,25.59,1.2,"Doughnuts, sweet rolls, pastries",healthy_fats,6.25,37.01,57.15,1.86,0.02,12.44,321.0,5.29,63.0
"Fritter, Plain",378.0,6.56,27.46,26.93,0.9,"Doughnuts, sweet rolls, pastries",healthy_fats,6.94,29.06,64.12,1.97,0.02,2.06,340.0,5.58,67.0
Fruit Dressing,219.0,2.51,12.42,17.97,0.1,Salad dressings and vegetable oils,healthy_fats,4.58,22.68,73.85,1.19,0.01,9.67,31.0,10.33,53.0
Funnel Cake With Sugar,353.0,7.87,43.49,16.57,1.0,"Doughnuts, sweet rolls, pastries",healthy_fats,8.92,49.28,42.25,2.51,0.02,15.87,278.0,3.12,64.0
Funnel Cake With Sugar And Fruit,380.0,5.84,55.18,15.7,0.9,"Doughnuts, sweet rolls, pastries",healthy_fats,6.15,58.08,37.18,1.77,0.02,21.26,211.0,2.76,47.0
"Ginger Root, Pickled",20.0,0.33,4.83,0.1,2.6,"Olives, pickles, pickled vegetables",healthy_fats,6.6,96.6,4.5,10.0,0.02,0.0,906.0,0.04,0.0
"Green Beans, Pickled",54.0,1.63,11.0,0.25,2.5,"Olives, pickles, pickled vegetables",healthy_fats,12.07,81.48,4.17,7.65,0.03,6.8,944.0,0.04,0.0
Hazelnuts,628.0,14.95,16.7,60.75,9.7,Nuts and seeds,healthy_fats,9.52,10.64,87.06,3.93,0.02,4.34,0.0,4.46,0.0
Honey Mustard Dressing,464.0,0.87,23.33,40.83,0.4,Salad dressings and vegetable oils,healthy_fats,0.75,20.11,79.2,0.27,0.0,15.84,512.0,5.0,29.0
"Honey Mustard Dressing, Fat-Free",169.0,1.07,38.43,1.47,1.2,Salad dressings and vegetable oils,healthy_fats,2.53,90.96,7.83,1.34,0.01,17.75,1004.0,0.35,1.0
"Honey Mustard Dressing, Light",207.0,0.98,28.26,10.0,0.8,Salad dressings and vegetable oils,healthy_fats,1.89,54.61,43.48,0.86,0.0,18.33,701.0,0.83,0.0
"Italian Dressing, Fat-Free",47.0,0.97,8.75,0.87,0.6,Salad dressings and vegetable oils,healthy_fats,8.26,74.47,16.66,3.34,0.02,8.85,1129.0,0.3,2.0
"Italian Dressing, Light",102.0,0.39,9.99,6.68,0.0,Salad dressings and vegetable oils,healthy_fats,1.53,39.18,58.94,0.38,0.0,9.16,891.0,0.83,0.0
"Italian Dressing, Made With Vinegar And Oil",240.0,0.41,12.12,21.12,0.0,Salad dressings and vegetable oils,healthy_fats,0.68,20.2,79.2,0.17,0.0,10.77,993.0,2.95,0.0
"Jelly Sandwich,",267.0,5.72,57.5,2.16,1.8,Peanut butter and jelly sandwiches,healthy_fats,8.57,86.14,7.28,2.82,0.02,23.69,282.0,0.5,0.0
"Jelly Sandwich, On Wheat Bread",265.0,6.9,55.23,2.39,3.6,Peanut butter and jelly sandwiches,healthy_fats,10.42,83.37,8.12,3.96,0.03,23.61,276.0,0.43,0.0
"Jelly Sandwich, On White Bread",267.0,5.72,57.5,2.16,1.8,Peanut butter and jelly sandwiches,healthy_fats,8.57,86.14,7.28,2.82,0.02,23.69,282.0,0.5,0.0
Kimchi,15.0,1.1,2.4,0.5,1.6,"Olives, pickles, pickled vegetables",healthy_fats,29.33,64.0,30.0,10.0,0.07,1.06,498.0,0.07,0.0
Korean Dressing Or Marinade,348.0,3.17,12.66,31.41,0.5,Salad dressings and vegetable oils,healthy_fats,3.64,14.55,81.23,1.05,0.01,10.2,1850.0,4.17,0.0
Macadamia Nuts,716.0,7.79,12.83,76.08,8.0,Nuts and seeds,healthy_fats,4.35,7.17,95.63,2.21,0.01,4.14,353.0,11.95,0.0
"Mixed Nuts,",610.0,19.59,20.9,53.82,7.4,Nuts and seeds,healthy_fats,12.85,13.7,79.41,4.42,0.03,4.53,313.0,7.59,0.0
"Mixed Nuts, Honey Roasted",586.0,15.35,33.11,46.72,5.8,Nuts and seeds,healthy_fats,10.48,22.6,71.75,3.61,0.03,20.34,388.0,6.55,0.0
"Mixed Nuts, Unroasted",616.0,16.97,22.88,54.56,7.2,Nuts and seeds,healthy_fats,11.02,14.86,79.71,3.92,0.03,4.66,7.0,7.04,0.0
"Mixed Nuts, With Peanuts, Lightly Salted",612.0,19.67,20.99,54.04,7.4,Nuts and seeds,healthy_fats,12.86,13.72,79.47,4.42,0.03,4.55,160.0,7.62,0.0
"Mixed Nuts, With Peanuts, Salted",610.0,19.59,20.9,53.82,7.4,Nuts and seeds,healthy_fats,12.85,13.7,79.41,4.42,0.03,4.53,313.0,7.59,0.0
"Mixed Nuts, With Peanuts, Unsalted",615.0,19.75,21.07,54.25,7.5,Nuts and seeds,healthy_fats,12.85,13.7,79.39,4.43,0.03,4.57,6.0,7.65,0.0
"Mixed Nuts, Without Peanuts, Salted",620.0,16.32,22.0,55.5,6.9,Nuts and seeds,healthy_fats,10.53,14.19,80.56,3.75,0.03,4.48,320.0,7.17,0.0
"Mixed Nuts, Without Peanuts, Unsalted",625.0,16.45,22.18,55.95,7.0,Nuts and seeds,healthy_fats,10.53,14.2,80.57,3.75,0.03,4.52,6.0,7.23,0.0
Mixed Seeds,580.0,21.96,21.73,49.61,10.0,Nuts and seeds,healthy_fats,15.14,14.99,76.98,5.51,0.04,2.37,7.0,6.05,0.0
"Mushrooms, Pickled",46.0,2.4,8.29,0.3,1.4,"Olives, pickles, pickled vegetables",healthy_fats,20.87,72.09,5.87,8.26,0.05,6.51,949.0,0.04,0.0
Nutella Sandwich On Wheat Bread,359.0,9.32,51.31,12.93,5.4,Peanut butter and jelly sandwiches,healthy_fats,10.38,57.17,32.42,4.1,0.03,22.19,301.0,10.36,0.0
Nutella Sandwich On White Bread,362.0,8.03,53.78,12.68,3.4,Peanut butter and jelly sandwiches,healthy_fats,8.87,59.43,31.52,3.16,0.02,22.28,308.0,10.42,0.0
"Nuts,",610.0,19.59,20.9,53.82,7.4,Nuts and seeds,healthy_fats,12.85,13.7,79.41,4.42,0.03,4.53,313.0,7.59,0.0
"Okra, Pickled",48.0,1.6,11.04,0.17,2.7,"Olives, pickles, pickled vegetables",healthy_fats,13.33,92.0,3.19,8.96,0.03,6.1,950.0,0.02,0.0
Olive Oil,900.0,0.0,0.0,100.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,0.0,0.0,0.0,2.0,15.52,0.0
Olive Tapenade,282.0,0.73,4.17,30.05,1.8,"Olives, pickles, pickled vegetables",healthy_fats,1.04,5.91,95.9,0.9,0.0,0.16,835.0,4.85,0.0
"Olives,",116.0,0.84,6.04,10.9,1.6,"Olives, pickles, pickled vegetables",healthy_fats,2.9,20.83,84.57,2.1,0.01,0.0,735.0,2.28,0.0
"Olives, Black",116.0,0.84,6.04,10.9,1.6,"Olives, pickles, pickled vegetables",healthy_fats,2.9,20.83,84.57,2.1,0.01,0.0,735.0,2.28,0.0
"Olives, Green",145.0,1.03,3.84,15.32,3.3,"Olives, pickles, pickled vegetables",healthy_fats,2.84,10.59,95.09,2.99,0.01,0.54,1556.0,2.03,0.0
"Olives, Stuffed",141.0,1.15,4.96,12.9,4.0,"Olives, pickles, pickled vegetables",healthy_fats,3.26,14.07,82.34,3.65,0.01,0.0,1620.0,2.3,0.0
"Pan Dulce,",371.0,9.07,56.36,12.2,2.2,"Doughnuts, sweet rolls, pastries",healthy_fats,9.78,60.77,29.6,3.04,0.02,14.09,231.0,2.31,29.0
"Pan Dulce, No Topping",367.0,9.42,56.38,11.58,2.3,"Doughnuts, sweet rolls, pastries",healthy_fats,10.27,61.45,28.4,3.19,0.03,12.5,228.0,2.18,30.0
"Pan Dulce, With Fruit, No Frosting",372.0,6.2,50.9,16.4,2.4,"Doughnuts, sweet rolls, pastries",healthy_fats,6.67,54.73,39.68,2.31,0.02,31.73,304.0,3.08,66.0
"Pan Dulce, With Raisins And Icing",368.0,8.29,58.57,11.39,2.2,"Doughnuts, sweet rolls, pastries",healthy_fats,9.01,63.66,27.86,2.85,0.02,19.6,214.0,2.14,26.0
"Pan Dulce, With Sugar Topping",374.0,8.73,56.35,12.82,2.1,"Doughnuts, sweet rolls, pastries",healthy_fats,9.34,60.27,30.85,2.9,0.02,15.68,235.0,2.44,28.0
Pannetone,325.0,9.76,53.75,8.39,2.3,"Doughnuts, sweet rolls, pastries",healthy_fats,12.01,66.15,23.23,3.71,0.03,17.79,325.0,3.99,61.0
